model_name,graph_id,oap_method,oap_params,device_type,cores,batch_size,load_time,exec_time,warmup_time,input_size
switch-base-128,2,PARAM_OAP,8,cuda:2,1,1,2.3000845909118652,0.008791685104370117,0.004703521728515625,4200960
switch-base-128,3,PARAM_OAP,8,cuda:2,1,1,1.8679745197296143,0.020641326904296875,-0.2641482353210449,3306752
switch-base-128,4,PARAM_OAP,8,cuda:2,1,1,2.3100314140319824,0.009283065795898438,0.0016138553619384766,4838400
switch-base-128,5,PARAM_OAP,8,cuda:2,1,1,2.7250428199768066,0.011566638946533203,0.0012822151184082031,5004288
switch-base-128,6,PARAM_OAP,8,cuda:2,1,1,2.3068671226501465,0.013120651245117188,0.24200963973999023,5104128
switch-base-128,7,PARAM_OAP,8,cuda:2,1,1,2.701106548309326,0.009550809860229492,0.003216266632080078,3875328
switch-base-128,0,TIME_OAP,8,cpu,16,1,8.055754899978638,0.0,0.0,3586048
switch-base-128,1,TIME_OAP,8,cpu,16,1,8.643453121185303,0.0,0.0,2310144
switch-base-128,2,TIME_OAP,8,cpu,16,1,9.105580806732178,0.0,0.0,4173312
switch-base-128,3,TIME_OAP,8,cpu,16,1,9.332719564437866,0.0,0.0,2267136
switch-base-128,4,TIME_OAP,8,cpu,16,1,10.034070014953613,0.0,0.0,5922560
switch-base-128,5,TIME_OAP,8,cpu,16,1,11.329426765441895,0.0,0.0,3446784
switch-base-128,6,TIME_OAP,8,cpu,16,1,10.686647415161133,0.0,0.0,6675456
switch-base-128,7,TIME_OAP,8,cpu,16,1,11.401870965957642,0.0,0.0,3876864
switch-base-128,0,TIME_OAP,8,cuda:2,1,1,1.8413476943969727,0.00969386100769043,0.0022313594818115234,3586048
switch-base-128,1,TIME_OAP,8,cuda:2,1,1,1.7820398807525635,0.008096933364868164,0.001367330551147461,2310144
switch-base-128,2,TIME_OAP,8,cuda:2,1,1,2.2151997089385986,0.008569478988647461,0.0015327930450439453,4173312
switch-base-128,3,TIME_OAP,8,cuda:2,1,1,2.2787468433380127,0.008001089096069336,0.0019049644470214844,2267136
switch-base-128,4,TIME_OAP,8,cuda:2,1,1,2.331141233444214,0.009330034255981445,0.0027294158935546875,5922560
switch-base-128,5,TIME_OAP,8,cuda:2,1,1,2.7414255142211914,0.009051322937011719,0.003609895706176758,3446784
switch-base-128,6,TIME_OAP,8,cuda:2,1,1,2.1876137256622314,0.010823726654052734,0.0017986297607421875,6675456
switch-base-128,7,TIME_OAP,8,cuda:2,1,1,1.09871506690979,0.00935983657836914,0.002336740493774414,3876864
switch-base-128,0,ME_OAP,10.0-3,cpu,16,1,23.524198055267334,0.0,0.0,8094208
switch-base-128,1,ME_OAP,10.0-3,cpu,16,1,25.88122296333313,0.0,0.0,13507328
switch-base-128,2,ME_OAP,10.0-3,cpu,16,1,26.848334789276123,0.0,0.0,10656768
switch-base-128,0,ME_OAP,10.0-3,cuda:2,1,1,6.532928705215454,0.025604963302612305,0.005827903747558594,8094208
switch-base-128,1,ME_OAP,10.0-3,cuda:2,1,1,4.824040651321411,0.025536060333251953,0.010172843933105469,13507328
switch-base-128,2,ME_OAP,10.0-3,cuda:2,1,1,2.59456205368042,0.021538496017456055,0.02977776527404785,10656768
stable-diffusion,0,LATENCY_OAP,10.0-3,cpu,16,1,3.2716329097747803,0.0,0.0,348445954
stable-diffusion,1,LATENCY_OAP,10.0-3,cpu,16,1,5.021603345870972,0.0,0.0,90513408
stable-diffusion,2,LATENCY_OAP,10.0-3,cpu,16,1,2.8498528003692627,0.0,0.0,503273472
stable-diffusion,0,LATENCY_OAP,10.0-3,cuda,1,1,0.5269179344177246,0.025793790817260742,1.1525721549987793,348445954
